MSOA11CD,RGN19NM,DeathRate,Deaths,Score,Extent,Proportion
E02000441,London,183.40857787810384,13,17.014621331828444,0.05814534572888201,0
E02000442,London,110.05943209333039,10,14.37864461809377,0,0
E02000443,London,193.66708627868695,20,21.933879442238794,0,0
E02000444,London,113.88224575788635,10,11.897678168773488,0,0
E02000445,London,247.83147459727385,28,21.750066825986902,0,0
E02000447,London,164.78989288656962,12,12.58204078549849,0,0
E02000448,London,86.4304235090752,6,6.837786228752521,0,0
E02000449,London,143.42058085335248,12,18.33961312298315,0,0
E02000451,London,76.40586797066015,5,7.502497860635697,0,0
E02000452,London,137.85180930499712,12,17.859288110281447,0,0
E02000453,London,72.67441860465117,6,12.517704093992249,0,0
E02000454,London,114.07386282617995,8,5.774424925139027,0,0
E02000455,London,166.32423441933273,17,17.555525291067408,0,0
E02000456,London,178.5223839604504,13,14.791297171106837,0,0
E02000457,London,166.5909435105255,11,12.079324852339846,0,0
E02000459,London,140.28272364303442,13,20.431285960936655,0,0
